Tournament_Type,Opponent,Wins,Losses,Total_Matches,Win_Percentage
All,poolmaster,2,0,2,100.0
All,Jyothi Swaroop,2,0,2,100.0
All,Scott Thompson,1,0,1,100.0
All,anveshkolli,1,0,1,100.0
All,Dr VIGHNESH B,0,1,1,0.0
All,Karthik Kosuri,1,0,1,100.0
All,Rachit3069,4,2,6,66.7
All,chiku0215,2,7,9,22.2
All,Keerthi G,2,0,2,100.0
All,Kp,0,1,1,0.0
All,Pavan Singh,0,1,1,0.0
All,Jaadooo,0,1,1,0.0
All,Salmankhan24,1,0,1,100.0
All,Abeer,1,0,1,100.0
All,Sukhu75,2,0,2,100.0
All,Nii,1,0,1,100.0
All,Rahul Badhan,1,0,1,100.0
All,pu2wilson,4,1,5,80.0
All,Avanesh,1,0,1,100.0
All,Animal,0,1,2,0.0
All,Rashesh,1,1,2,50.0
All,Sai Kittu,1,0,1,100.0
All,Srinunaidu,0,0,1,0.0
All,Salman Ayub,0,0,1,0.0
All,ArunJalanila,0,0,1,0.0
All,Krishnakumar K,0,1,1,0.0
All,AnythingIsPossible,0,1,1,0.0
All,NEW ZEALAND,0,0,1,0.0
All,Varshnem,0,0,1,0.0
All,Raj Patil,0,0,1,0.0
All,Shoaib,0,0,1,0.0
All,KiranDevara,0,0,1,0.0
All,NiTiN,4,0,4,100.0
All,Vishal dhanala,2,0,2,100.0
All,Fetalice,2,0,2,100.0
All,Krishna Prashanth,0,1,1,0.0
All,HighestSaint,1,0,1,100.0
All,Gonnabathula,0,2,2,0.0
All,AJ,1,0,1,100.0
All,Nikhil,2,2,4,50.0
All,RiteshSbgIndia,1,0,1,100.0
All,Adeep kumar sahoo,0,1,1,0.0
All,kAiZZeR 007,2,0,2,100.0
All,AjgarJurraat,1,0,1,100.0
All,aviroyal,1,0,1,100.0
All,Abhitiwa,2,0,2,100.0
All,Alishan Abdul Qadir,1,0,1,100.0
All,Ajaura,1,0,1,100.0
All,SinghTaran,1,0,1,100.0
All,VR Meta,1,0,1,100.0
All,Nkmaharana,1,0,1,100.0
All,Munawar,1,0,1,100.0
All,Justin Davies,1,0,1,100.0
All,Haider,1,0,1,100.0
All,VK,0,3,3,0.0
All,Rishab Prashanth,4,3,7,57.1
All,shri,1,0,1,100.0
All,GoWinNow,2,8,10,20.0
All,Shrey,1,0,1,100.0
All,Zain Sarwar,2,0,2,100.0
All,Donz Rohilla,1,0,1,100.0
All,A1andominic,1,0,1,100.0
All,Faisal hayat,3,0,3,100.0
All,quick-bravery,2,0,2,100.0
All,Anumala,2,0,2,100.0
All,Jaitik Berawala,0,2,2,0.0
All,WhoGamer,1,1,2,50.0
All,taran2388,3,0,3,100.0
All,Haree,2,0,2,100.0
All,KYADASI SRIKANTH,1,0,1,100.0
All,IshanOshin,2,0,2,100.0
All,Gary Belcher,2,0,2,100.0
All,Yogesh Shrivastava,2,0,2,100.0
All,Zeeshan,0,1,1,0.0
All,Dev,1,0,1,100.0
All,N@N!,1,0,1,100.0
All,Kunal,1,0,1,100.0
All,GalacticParakeet3590,1,0,1,100.0
All,Vivek Venugopal,1,0,1,100.0
All,Wizheart,1,0,1,100.0
All,Shikhar,2,0,2,100.0
All,aravindun,3,1,4,75.0
All,Junadkhan,2,0,2,100.0
All,Arjunak23,3,1,4,75.0
All,Dinosa_VR,1,0,1,100.0
All,Pratik Chandarana,1,0,1,100.0
All,manjunath0591,1,0,1,100.0
All,Tharshith,1,0,1,100.0
All,farazshamim9,2,0,2,100.0
All,Powerplay6100,1,0,1,100.0
All,Hamza,1,0,1,100.0
All,AshMc1,1,0,1,100.0
All,uzair52,1,0,1,100.0
All,akarsh86,2,0,2,100.0
All,emms.shergill,2,2,4,50.0
All,martinc41,1,0,1,100.0
All,saketh,2,0,2,100.0
All,ai.x,1,0,1,100.0
All,sumair,1,0,1,100.0
All,DireKirby,0,1,1,0.0
All,Dax,1,0,1,100.0
All,GameParade8258_YT,1,1,2,50.0
All,Faheem,1,0,1,100.0
All,Devil,2,0,2,100.0
All,ADITHYA GOURIBHATLA,2,0,2,100.0
All,MJ,0,1,1,0.0
All,Santhosh Gujje,2,0,2,100.0
All,Mike Andrews,1,0,1,100.0
All,Boycott Geoffrey,3,0,3,100.0
All,Mohammad Ahyan,2,0,2,100.0
All,Subhanazaan,1,0,1,100.0
All,Sai,1,0,1,100.0
All,Veekshith4,1,0,1,100.0
All,Adilmirza,1,0,1,100.0
All,timephilospher13,1,0,1,100.0
All,prudhiviraj,1,0,1,100.0
All,zubair16,1,0,1,100.0
All,Shikhar Sharma,1,0,1,100.0
All,Janjo,1,0,1,100.0
All,Puneet,0,1,1,0.0
All,Ikram Khan,2,0,2,100.0
All,Boora,1,0,1,100.0
All,K2L,1,1,2,50.0
All,Venomvertex24,1,0,1,100.0
All,ammarkhan87,2,0,2,100.0
All,Viraj Sankholkar,1,0,1,100.0
All,Finalstatue,1,0,1,100.0
All,AminSajwani17,1,0,1,100.0
All,harsha425,1,0,1,100.0
All,fas,1,1,2,50.0
All,GoldBadger2650,1,0,1,100.0
All,Muhammad Janjua,1,0,1,100.0
All,Parth Patel,0,0,1,0.0
All,Zackahmed2020,0,1,1,0.0
All,Narayanharimittal,0,1,1,0.0
All,Aalok,0,0,1,0.0
All,Izhar Ali,0,1,1,0.0
All,Mudi,0,0,1,0.0
All,Bharath Simha Reddy Bobbala,0,1,1,0.0
All,Isco71,0,0,1,0.0
All,Arshpreet Singh,1,0,1,100.0
All,మధు కిరణ్ తుమ్మిడి,0,1,1,0.0
All,Mehmood,1,0,1,100.0
All,Vishal,1,0,1,100.0
All,LaughingMacaw9638,0,1,1,0.0
All,Salim Syed,0,1,1,0.0
All,Garvish,0,1,1,0.0
All,SamP,1,1,2,50.0
All,Shayak Mukherjee,0,1,1,0.0
All,wajihhaider1,0,1,1,0.0
All,Gautam Khandige,2,0,2,100.0
All,Jack,1,0,1,100.0
All,Karanveer Singh,3,0,3,100.0
All,Ram,2,0,2,100.0
All,Numan Sarfraz,2,0,2,100.0
All,Srikanth Mamidi,1,0,1,100.0
All,Sohaib Arshad,2,0,2,100.0
All,Anil Roy,1,0,1,100.0
All,Morne Herselman,1,0,1,100.0
All,Atul Gupta,1,0,1,100.0
All,Lets workout,1,0,1,100.0
All,Arslan Cheema,1,0,1,100.0
All,Sheikh0300,1,0,1,100.0
All,amazing11,1,0,1,100.0
All,CS COATs,1,0,1,100.0
All,James Middleton,1,0,1,100.0
All,Imran Shariff,1,0,1,100.0
All,Jigar Adhiya,1,0,1,100.0
All,SAi Kumar Reddy,1,0,1,100.0
All,Deepuppal,1,0,1,100.0
All,Rohan,1,0,1,100.0
All,Jeevan,0,1,1,0.0
All,Another Cricketer,1,0,1,100.0
All,musascontact,1,0,1,100.0
All,deepu_vyshu,1,0,1,100.0
All,Stealthemu,1,0,1,100.0
All,Ali,1,0,1,100.0
All,Right_handed_batsman,1,0,1,100.0
All,Ali110,1,0,1,100.0
All,Santosh,1,0,1,100.0
All,SadhiqCMA,1,0,1,100.0
All,Stone Cold316,1,0,1,100.0
All,vrmaha8055,1,0,1,100.0
All,Dushyanth,1,0,1,100.0
All,Iceman,0,1,1,0.0
All,Anil Solanki,1,0,1,100.0
All,FriendlyFlamingo9461,1,0,1,100.0
All,bizwiz00,2,0,2,100.0
All,Mandy Mandanna,1,0,1,100.0
All,Albert,1,0,1,100.0
All,DataDragon,1,0,1,100.0
All,mnfumatiya,1,0,1,100.0
All,San Van,1,0,1,100.0
All,Barney,1,0,1,100.0
All,rishirocks22,1,0,1,100.0
All,FrostedNarwhal4218,1,0,1,100.0
All,Nishant Kumar,0,1,1,0.0
All,RONAK,0,1,1,0.0
All,Meer03,1,0,1,100.0
All,Akshar1127,1,0,1,100.0
All,Niles,1,0,1,100.0
All,Asif Eqbal,0,1,1,0.0
All,Fucuras,1,0,1,100.0
All,Adeel Prasla,1,0,1,100.0
All,Harsh,0,1,1,0.0
All,Kinshuk Kashyap,1,0,1,100.0
All,nxy6608,1,0,1,100.0
All,CyyM07,1,0,1,100.0
All,AJ-Abhi,1,0,1,100.0
All,Mustafa Hussain,1,0,1,100.0
All,BazBall,0,1,1,0.0
All,Steve,1,0,1,100.0
All,Haleyangilella,1,0,1,100.0
All,HarshaPopuri,1,0,1,100.0
All,Shashank Ubarhande,1,0,1,100.0
All,Praneeth,1,0,1,100.0
All,Mumar19,1,0,1,100.0
All,Vidit Chopra,1,0,1,100.0
All,Mayank Dungarwal,0,1,1,0.0
All,Regor024,1,0,1,100.0
All,Mohitv90,1,0,1,100.0
All,Amna,1,0,1,100.0
All,Abhya73,1,0,1,100.0
All,Sumit,1,0,1,100.0
All,JumpingWren3304,1,0,1,100.0
All,GoofyTapir5006,1,0,1,100.0
All,Chan8690,1,0,1,100.0
Other,poolmaster,2,0,2,100.0
Other,Jyothi Swaroop,2,0,2,100.0
Other,Scott Thompson,1,0,1,100.0
Other,anveshkolli,1,0,1,100.0
Other,Dr VIGHNESH B,0,1,1,0.0
Other,Karthik Kosuri,1,0,1,100.0
Other,Rachit3069,4,2,6,66.7
Other,chiku0215,2,7,9,22.2
Other,Keerthi G,2,0,2,100.0
Other,Kp,0,1,1,0.0
Other,Pavan Singh,0,1,1,0.0
Other,Jaadooo,0,1,1,0.0
Other,Salmankhan24,1,0,1,100.0
Other,Abeer,1,0,1,100.0
Other,Sukhu75,2,0,2,100.0
Other,Nii,1,0,1,100.0
Other,Rahul Badhan,1,0,1,100.0
Other,pu2wilson,4,1,5,80.0
Other,Avanesh,1,0,1,100.0
Other,Animal,0,1,2,0.0
Other,Rashesh,1,1,2,50.0
Other,Sai Kittu,1,0,1,100.0
Other,Srinunaidu,0,0,1,0.0
Other,Salman Ayub,0,0,1,0.0
Other,ArunJalanila,0,0,1,0.0
Other,Krishnakumar K,0,1,1,0.0
Other,AnythingIsPossible,0,1,1,0.0
Other,NEW ZEALAND,0,0,1,0.0
Other,Varshnem,0,0,1,0.0
Other,Raj Patil,0,0,1,0.0
Other,Shoaib,0,0,1,0.0
Other,KiranDevara,0,0,1,0.0
Other,NiTiN,4,0,4,100.0
Other,Vishal dhanala,2,0,2,100.0
Other,Fetalice,2,0,2,100.0
Other,Krishna Prashanth,0,1,1,0.0
Other,HighestSaint,1,0,1,100.0
Other,Gonnabathula,0,2,2,0.0
Other,AJ,1,0,1,100.0
Other,Nikhil,2,2,4,50.0
Other,RiteshSbgIndia,1,0,1,100.0
Other,Adeep kumar sahoo,0,1,1,0.0
Other,kAiZZeR 007,2,0,2,100.0
Other,AjgarJurraat,1,0,1,100.0
Other,aviroyal,1,0,1,100.0
Other,Abhitiwa,2,0,2,100.0
Other,Alishan Abdul Qadir,1,0,1,100.0
Other,Ajaura,1,0,1,100.0
Other,SinghTaran,1,0,1,100.0
Other,VR Meta,1,0,1,100.0
Other,Nkmaharana,1,0,1,100.0
Other,Munawar,1,0,1,100.0
Other,Justin Davies,1,0,1,100.0
Other,Haider,1,0,1,100.0
Other,VK,0,3,3,0.0
Other,Rishab Prashanth,4,3,7,57.1
Other,shri,1,0,1,100.0
Other,GoWinNow,2,8,10,20.0
Other,Shrey,1,0,1,100.0
Other,Zain Sarwar,2,0,2,100.0
Other,Donz Rohilla,1,0,1,100.0
Other,A1andominic,1,0,1,100.0
Other,Faisal hayat,3,0,3,100.0
Other,quick-bravery,2,0,2,100.0
Other,Anumala,2,0,2,100.0
Other,Jaitik Berawala,0,2,2,0.0
Other,WhoGamer,1,1,2,50.0
Other,taran2388,3,0,3,100.0
Other,Haree,2,0,2,100.0
Other,KYADASI SRIKANTH,1,0,1,100.0
Other,IshanOshin,2,0,2,100.0
Other,Gary Belcher,2,0,2,100.0
Other,Yogesh Shrivastava,2,0,2,100.0
Other,Zeeshan,0,1,1,0.0
Other,Dev,1,0,1,100.0
Other,N@N!,1,0,1,100.0
Other,Kunal,1,0,1,100.0
Other,GalacticParakeet3590,1,0,1,100.0
Other,Vivek Venugopal,1,0,1,100.0
Other,Wizheart,1,0,1,100.0
Other,Shikhar,2,0,2,100.0
Other,aravindun,3,1,4,75.0
Other,Junadkhan,2,0,2,100.0
Other,Arjunak23,3,1,4,75.0
Other,Dinosa_VR,1,0,1,100.0
Other,Pratik Chandarana,1,0,1,100.0
Other,manjunath0591,1,0,1,100.0
Other,Tharshith,1,0,1,100.0
Other,farazshamim9,2,0,2,100.0
Other,Powerplay6100,1,0,1,100.0
Other,Hamza,1,0,1,100.0
Other,AshMc1,1,0,1,100.0
Other,uzair52,1,0,1,100.0
Other,akarsh86,2,0,2,100.0
Other,emms.shergill,2,2,4,50.0
Other,martinc41,1,0,1,100.0
Other,saketh,2,0,2,100.0
Other,ai.x,1,0,1,100.0
Other,sumair,1,0,1,100.0
Other,DireKirby,0,1,1,0.0
Other,Dax,1,0,1,100.0
Other,GameParade8258_YT,1,1,2,50.0
Other,Faheem,1,0,1,100.0
Other,Devil,2,0,2,100.0
Other,ADITHYA GOURIBHATLA,2,0,2,100.0
Other,MJ,0,1,1,0.0
